_id,Major1,Major2,Major3
1389185,POL S,,
1590495,ESS,,
1338255,N MATR,,
1334455,STAT,MATH,
1205121,BIOL,,
1499751,POL S,,
1577898,ARCHST,,
1541963,SOC,,
1161180,POL S,,
1469354,ECON,,
1574776,INFO,,
1592267,INFO,,
1490543,ATM S,,
1494717,PH,,
1379985,BIOL,,
1493781,LSJ,,
1735994,ECFS O,,
1721431,C SCI,,
1490527,ECFS,ART,
1404363,PH,,
1690095,MKTG,ENTRE,
1580335,CHEM E,,
1744774,ENGL,,
1263660,PHYS,,
1388029,PHYS,ACMS,
1588561,E E,,
1560411,POL S,,
1577387,PSYCH,,
321327,MATH,,
951406,NURS,,
1402478,BIOL,,
1588913,BIOL,,
1446930,FINANC,CISB,
1486610,MICRO,,
1402679,OSCM,FINANC,
1613216,PSYCH,,
1493760,SPAN,,
1318904,SOC,,
1393490,FINANC,CISB,
1358466,BIOEN,,
1413729,ENTRE,MKTG,
1678957,FINANC,,
1413886,PH,,
1415008,SIS,,
1407110,ACCTGX,,
1490673,ECFS,COM,
918506,ISS O,,
1397589,ANTH,,
1299857,NURS,,
1566006,ART,POL S,
1535395,HIST,PHIL,
1343288,COM,,
1620746,LIS X,,
1560740,SIS,,
990319,BIOL,,
1232899,SOC,,
1483209,COM,ECON,
1584283,BIOL,,
1628795,MST,,
1399411,MICRO,,
1296853,E E,,
1650653,CHEM,,
1406443,MS E,,
1647771,ECFS,,
1329643,E E,,
1328389,HIHIME,,
1417754,IND E,,
1578255,ECFS,,
1496278,ECON,,
1306173,ACCTG,I S,
1831410,ACCTG,,
1477962,ACMS,ART,
1407853,INFO,,
1677443,BIOL,,
1308509,PSYCH,,
1478493,M E,,
1554243,CIV E,,
1584736,SPHSC,,
1473198,ATM S,,
1740067,E E,,
1589735,PH,,
1336628,RELIG,,
1500676,COM,,
1488481,PHARMD,,
1181464,AES,,
1484439,E E,,
1583471,INFO,,
1743882,PSYCH,,
1416684,CHEM E,,
1063194,HIST,,
1629386,BIOL,,
1235274,PHYS,BIOCHM,
1469434,FINANC,,
1397798,MUSAP,,
1737933,EC&E,,
1474855,SOC,,
1504243,POL S,,
1500201,MICRO,,
1482663,MKTG,,
1424532,NBIO,,
1494657,EPI,,
1725695,MATH,,
1402908,MATH,,
1706743,MEDXD,,
1407861,ENGL,COM,
1386877,SISA,,
1587455,HCDE,,
1397825,DENT,,
1724252,FINANC,,
1823327,ACCTG,,
1280308,COM E,,
1270187,E E,,
1401803,POL S,COM,
1479615,PSYCH,,
1375507,ISS O,,
1586750,POL S,,
1834746,FINANC,,
1559931,BIOCHM,,
1489120,DESIGN,,
1831076,FINANC,,
1573064,MKTG,,
1478904,EPRMJ,,
1408767,MKTG,,
1491341,C SCI,,
1406901,PSYCH,,
1489893,SPAN,,
1416076,I S,,
949832,COM,,
1411180,NEAR E,POL S,
1472522,ENVIR,CEP,
1627406,NURS,,
1629692,COM,,
1312012,M E,,
1310504,ACCTG,I S,
1383272,DRAMA,,
1582244,HIST,,
1488779,GWSS,,
1833448,ECFS O,,
1414228,ANTH,,
1718105,E E,,
1307863,IND E,,
1718965,NURSX,,
1637477,ECFS O,,
1628061,NURS,,
1496630,B A,,
1512077,COM,,
1576932,COM,,
1390061,ACCTG,I S,
1394427,ENGL,LSJ,
1417734,FINANC,,
1469028,CIV E,,
1505529,PSYCH,,
1544311,L ARCH,,
1580544,BIOL,,
1497524,ENVIR,,
1582063,ANTH,ANTH,
1587567,ENGL,SOC,
1233114,PSYCH,SPAN,
1489739,IND E,,
1402364,SIS,,
1558314,SOC,,
1383178,BIOEN,,
1585034,A A,,
795845,ECON,,
1316945,CIV E,,
1570337,MATH,,
1480533,ISS O,,
1581985,COM,,
1495526,SIS,,
1489184,MICRO,,
1333596,ANTH,,
1591629,BIOCHM,,
1506748,MKTG,CISB,
1664840,ARCHST,,
1390861,HIST,,
1491433,PHYS,,
1392370,PHYS,,
1393752,ENTRE,,
1328318,ESRM,,
1591773,PHYS,,
1406353,ENV H,,
1391465,INFO,,
1478368,BIOCHM,,
1508601,ESRM,,
1505634,C SCI,,
1477901,E E,,
1486768,MATH,,
1554866,PSYCH,,
1400210,CIV E,,
1470947,FINANC,I S,
1479462,INFO,,
1355724,M E,,
1647614,ECFS,,
1169988,GEOG,,
1305524,C SCI,,
1576426,ECON,,
1485984,E E,,
1408003,N MATR,,
1568195,ART,,
1467713,INFO,,
1382664,BSE,,
1594652,ECFS,,
1493965,GEOG,,
1545907,M E,,
1215577,INFO,,
1573161,A A,,
1392498,LATIN,,
1497399,AES,,
1392080,MATH,,
1417131,E E,,
1500013,SIS,,
1591656,ANTH,,
1812748,NURS,,
1497963,C SCI,,
1628606,AES,,
1467866,JAPAN,,
1478521,COM,,
1718145,CIV E,,
1586603,ENVIR,,
1497724,NBIO,,
1496459,ENGL,,
1490660,MATH,,
1688058,POL S,,
1410596,CHEM E,,
1404696,PH,,
1496744,ANTH,ANTH,
1590696,C LIT,,
1500656,MATH,,
1384265,M E,,
1392245,ANTH,,
1590039,INFO,PSYCH,
1474630,SIS,,
1456177,LSJ,,
1480037,BIOL,,
1519304,COM,,
1383054,DESIGN,,
629401,HUM E,,
1527638,B A,,
1321015,ART,,
1396982,JAPAN,SISA,
1405575,MICRO,,
1717020,MKTG,I S,CISB
1440141,ECFS,,
1566454,ANTH,,
1496333,N MATR,,
1480680,M E,,
311287,GWSS,,
1406518,C LIT,,
698994,PSYCH,,
1666646,SIS,,
1388860,SOC,,
1598653,HCDE,,
1416092,E E,,
1516590,NBIO,,
1259974,SOC WF,,
